Name,Position,Age,Height,Weight,Team,College,Salary
Malcolm Brogdon,PG,30,195 см,104 кг,Boston Celtics,Virginia,$ 22.600.000
Jaylen Brown,SG,26,201 см,101 кг,Boston Celtics,California,$ 28.741.071
Justin Champagnie,SF,21,201 см,93 кг,Boston Celtics,Pittsburgh,$ 28.241
JD Davison,SG,20,186 см,88 кг,Boston Celtics,Alabama,Неизвестно
Danilo Gallinari,PF,34,186 см,107 кг,Boston Celtics,Неизвестно,$ 6.479.000
Blake Griffin,PF,34,210 см,113 кг,Boston Celtics,Oklahoma,$ 1.836.090
Sam Hauser,SF,25,204 см,98 кг,Boston Celtics,Virginia,$ 1.563.518
Al Horford,C,36,210 см,109 кг,Boston Celtics,Florida,$ 26.500.000
Mfiondu Kabengele,C,25,186 см,113 кг,Boston Celtics,Florida State,$ 1.701.593
Luke Kornet,C,27,219 см,113 кг,Boston Celtics,Vanderbilt,$ 2.133.278
Mike Muscala,C,31,186 см,109 кг,Boston Celtics,Bucknell,$ 3.500.000
Payton Pritchard,PG,25,186 см,88 кг,Boston Celtics,Oregon,$ 2.239.200
Marcus Smart,PG,29,195 см,100 кг,Boston Celtics,Oklahoma State,$ 17.207.141
Jayson Tatum,SF,25,207 см,95 кг,Boston Celtics,Duke,$ 28.103.500
Derrick White,PG,28,195 см,86 кг,Boston Celtics,Colorado,$ 16.892.857
Grant Williams,PF,24,201 см,107 кг,Boston Celtics,Tennessee,$ 4.306.281
Robert Williams III,C,25,210 см,108 кг,Boston Celtics,Texas A&M,$ 10.937.502
Mikal Bridges,SF,26,201 см,95 кг,Brooklyn Nets,Villanova,$ 20.100.000
Nic Claxton,C,24,186 см,98 кг,Brooklyn Nets,Georgia,$ 8.500.000
Seth Curry,SG,32,186 см,84 кг,Brooklyn Nets,Duke,$ 8.496.500
Spencer Dinwiddie,PG,30,201 см,98 кг,Brooklyn Nets,Colorado,$ 19.500.000
David Duke Jr.,G,23,195 см,93 кг,Brooklyn Nets,Providence,$ 28.241
Dorian Finney Smith,PF,30,204 см,100 кг,Brooklyn Nets,Florida,$ 12.939.648
RaiQuan Gray,F,23,204 см,122 кг,Brooklyn Nets,Florida State,Неизвестно
Joe Harris,SF,31,201 см,100 кг,Brooklyn Nets,Virginia,$ 18.642.857
Cameron Johnson,SF,27,207 см,95 кг,Brooklyn Nets,North Carolina,$ 5.887.899
Patty Mills,PG,34,183 см,82 кг,Brooklyn Nets,Saint Mary's,$ 6.479.000
Royce O Neale,PF,29,201 см,103 кг,Brooklyn Nets,Baylor,$ 9.200.000
Day Ron Sharpe,C,21,210 см,120 кг,Brooklyn Nets,North Carolina,$ 2.109.480
Ben Simmons,PG,26,186 см,109 кг,Brooklyn Nets,LSU,$ 35.448.672
Dru Smith,G,25,192 см,92 кг,Brooklyn Nets,Missouri,Неизвестно
Edmond Sumner,PG,27,195 см,89 кг,Brooklyn Nets,Xavier,$ 1.968.175
Cam Thomas,SG,21,192 см,95 кг,Brooklyn Nets,LSU,$ 2.138.160
Yuta Watanabe,SF,28,207 см,98 кг,Brooklyn Nets,George Washington,$ 1.762.796
RJ Barrett,SG,22,201 см,97 кг,New York Knicks,Duke,$ 10.900.635
Jalen Brunson,PG,26,186 см,86 кг,New York Knicks,Villanova,$ 27.733.332
Evan Fournier,SG,30,201 см,93 кг,New York Knicks,Неизвестно,$ 18.000.000
Quentin Grimes,SG,23,195 см,95 кг,New York Knicks,Houston,$ 2.277.000
Josh Hart,SG,28,195 см,98 кг,New York Knicks,Villanova,$ 12.960.000
Isaiah Hartenstein,C,25,213 см,113 кг,New York Knicks,Неизвестно,$ 7.804.879
DaQuan Jeffries,SG,25,198 см,101 кг,New York Knicks,Western Texas Coll. (J.C.),$ 300.000
Trevor Keels,G,19,195 см,100 кг,New York Knicks,Duke,Неизвестно
Miles McBride,PG,22,189 см,88 кг,New York Knicks,West Virginia,$ 1.563.518
Immanuel Quickley,SG,23,192 см,86 кг,New York Knicks,Kentucky,$ 2.316.240
Julius Randle,PF,28,207 см,113 кг,New York Knicks,Kentucky,$ 23.760.000
Mitchell Robinson,C,25,213 см,109 кг,New York Knicks,Неизвестно,$ 17.045.454
Isaiah Roby,F,25,207 см,104 кг,New York Knicks,Nebraska,$ 400.000
Derrick Rose,PG,34,192 см,91 кг,New York Knicks,Memphis,$ 14.520.730
Jericho Sims,C,24,210 см,113 кг,New York Knicks,Texas,$ 1.639.842
Obi Toppin,PF,25,210 см,100 кг,New York Knicks,Dayton,$ 5.348.280
Duane Washington Jr.,PG,23,189 см,89 кг,New York Knicks,Ohio State,$ 1.563.518
Dewayne Dedmon,C,33,186 см,111 кг,Philadelphia 76ers,USC,$ 580.373
Joel Embiid,C,29,213 см,127 кг,Philadelphia 76ers,Kansas,$ 33.616.770
James Harden,SG,33,198 см,100 кг,Philadelphia 76ers,Arizona State,$ 33.000.000
Montrezl Harrell,C,29,204 см,109 кг,Philadelphia 76ers,Louisville,$ 2.463.490
Tobias Harris,PF,30,204 см,103 кг,Philadelphia 76ers,Tennessee,$ 37.633.050
Danuel House Jr.,SF,29,201 см,100 кг,Philadelphia 76ers,Texas A&M,$ 4.105.000
Louis King,SF,24,204 см,93 кг,Philadelphia 76ers,Oregon,Неизвестно
Furkan Korkmaz,SG,25,204 см,92 кг,Philadelphia 76ers,Неизвестно,$ 5.000.000
Tyrese Maxey,PG,22,189 см,91 кг,Philadelphia 76ers,Kentucky,$ 2.726.880
Mac McClung,SG,24,189 см,84 кг,Philadelphia 76ers,Texas Tech,Неизвестно
Jalen McDaniels,PF,25,210 см,93 кг,Philadelphia 76ers,San Diego State,$ 1.930.681
De Anthony Melton,SG,25,189 см,91 кг,Philadelphia 76ers,USC,$ 8.250.000
Shake Milton,SG,26,198 см,93 кг,Philadelphia 76ers,SMU,$ 1.977.718
Georges Niang,SF,29,204 см,104 кг,Philadelphia 76ers,Iowa State,$ 3.465.000
Paul Reed,SF,23,210 см,95 кг,Philadelphia 76ers,DePaul,$ 1.782.621
Jaden Springer,G,20,195 см,92 кг,Philadelphia 76ers,Tennessee,$ 2.125.200
P.J. Tucker,PF,38,198 см,111 кг,Philadelphia 76ers,Texas,$ 10.490.000
Precious Achiuwa,PF,23,207 см,102 кг,Toronto Raptors,Memphis,$ 2.840.160
O.G. Anunoby,SF,25,204 см,105 кг,Toronto Raptors,Indiana,$ 17.357.143
Dalano Banton,PG,23,204 см,93 кг,Toronto Raptors,Nebraska,$ 1.563.318
Scottie Barnes,SF,21,207 см,102 кг,Toronto Raptors,Florida State,$ 7.644.720
Will Barton,G,32,198 см,82 кг,Toronto Raptors,Memphis,$ 432.642
Chris Boucher,PF,30,210 см,91 кг,Toronto Raptors,Oregon,$ 12.690.000
Jeff Dowtin Jr.,PG,26,192 см,80 кг,Toronto Raptors,Rhode Island,Неизвестно
Malachi Flynn,PG,25,186 см,79 кг,Toronto Raptors,San Diego State,$ 2.145.720
Ron Harper Jr.,F,23,198 см,111 кг,Toronto Raptors,Rutgers,Неизвестно
Christian Koloko,C,22,213 см,104 кг,Toronto Raptors,Arizona,$ 1.500.000
Jakob Poeltl,C,27,216 см,111 кг,Toronto Raptors,Utah,$ 9.398.148
Otto Porter Jr.,SF,29,207 см,90 кг,Toronto Raptors,Georgetown,$ 6.000.000
Pascal Siakam,PF,29,207 см,104 кг,Toronto Raptors,New Mexico State,$ 35.448.672
Gary Trent Jr.,SG,24,198 см,95 кг,Toronto Raptors,Duke,$ 17.505.000
Fred VanVleet,SG,29,183 см,89 кг,Toronto Raptors,Wichita State,$ 21.250.000
Joe Wieskamp,SF,23,201 см,93 кг,Toronto Raptors,Iowa,$ 554.989
Thaddeus Young,PF,34,207 см,107 кг,Toronto Raptors,Georgia Tech,$ 8.000.000
Lonzo Ball,PG,25,201 см,86 кг,Chicago Bulls,UCLA,$ 19.534.884
Patrick Beverley,PG,34,189 см,82 кг,Chicago Bulls,Arkansas,$ 357.717
Alex Caruso,SG,29,198 см,84 кг,Chicago Bulls,Texas A&M,$ 9.030.000
DeMar DeRozan,SF,33,201 см,100 кг,Chicago Bulls,USC,$ 27.300.000
Ayo Dosunmu,SG,23,198 см,91 кг,Chicago Bulls,Illinois,$ 1.563.518
Andre Drummond,C,29,186 см,127 кг,Chicago Bulls,UConn,$ 3.200.000
Javonte Green,SF,29,198 см,93 кг,Chicago Bulls,Radford,$ 1.815.677
Carlik Jones,G,25,183 см,79 кг,Chicago Bulls,Louisville,$ 357.717
Derrick Jones Jr.,SF,26,201 см,95 кг,Chicago Bulls,UNLV,$ 3.200.000
Zach LaVine,SG,28,198 см,91 кг,Chicago Bulls,UCLA,$ 37.096.500
Justin Lewis,F,21,204 см,111 кг,Chicago Bulls,Marquette,Неизвестно
Marko Simonovic,C,23,213 см,100 кг,Chicago Bulls,Неизвестно,$ 1.563.518
Terry Taylor,F,23,195 см,104 кг,Chicago Bulls,Austin Peay,$ 1.563.518
Dalen Terry,F,20,204 см,88 кг,Chicago Bulls,Arizona,$ 3.191.400
Nikola Vucevic,C,32,186 см,118 кг,Chicago Bulls,USC,$ 22.000.000
Coby White,PG,23,198 см,88 кг,Chicago Bulls,North Carolina,$ 7.413.955
Patrick Williams,PF,21,204 см,98 кг,Chicago Bulls,Florida State,$ 7.775.400
Jarrett Allen,C,25,210 см,110 кг,Cleveland Cavaliers,Texas,$ 20.000.000
Mamadi Diakite,F,26,210 см,103 кг,Cleveland Cavaliers,Virginia,$ 1.517.981
Darius Garland,PG,23,186 см,87 кг,Cleveland Cavaliers,Vanderbilt,$ 8.920.795
Danny Green,F,35,201 см,98 кг,Cleveland Cavaliers,North Carolina,$ 2.000.000
Caris LeVert,SG,28,201 см,93 кг,Cleveland Cavaliers,Michigan,$ 18.796.296
Robin Lopez,C,35,213 см,127 кг,Cleveland Cavaliers,Stanford,$ 1.836.090
Sam Merrill,SG,27,195 см,93 кг,Cleveland Cavaliers,Utah State,$ 850.000
Donovan Mitchell,SG,26,186 см,98 кг,Cleveland Cavaliers,Louisville,$ 30.913.750
Evan Mobley,PF,21,186 см,98 кг,Cleveland Cavaliers,USC,$ 8.478.720
Isaiah Mobley,F,23,207 см,108 кг,Cleveland Cavaliers,USC,Неизвестно
Raul Neto,PG,31,189 см,82 кг,Cleveland Cavaliers,Неизвестно,$ 1.836.090
Isaac Okoro,SF,22,198 см,102 кг,Cleveland Cavaliers,Auburn,$ 7.040.880
Cedi Osman,SF,28,204 см,104 кг,Cleveland Cavaliers,Неизвестно,$ 7.426.088
Ricky Rubio,PG,32,189 см,86 кг,Cleveland Cavaliers,Неизвестно,$ 5.853.659
Lamar Stevens,F,25,201 см,104 кг,Cleveland Cavaliers,Penn State,$ 1.782.621
Dean Wade,PF,26,210 см,103 кг,Cleveland Cavaliers,Kansas State,$ 1.930.681
Dylan Windler,SG,26,204 см,89 кг,Cleveland Cavaliers,Belmont,$ 4.037.278
Marvin Bagley III,PF,24,186 см,107 кг,Detroit Pistons,Duke,$ 12.500.000
Buddy Boeheim,F,23,201 см,93 кг,Detroit Pistons,Syracuse,Неизвестно
Bojan Bogdanovic,SF,34,204 см,103 кг,Detroit Pistons,Неизвестно,$ 19.550.000
Alec Burks,SG,31,201 см,97 кг,Detroit Pistons,Colorado,$ 10.012.800
Cade Cunningham,PG,21,204 см,100 кг,Detroit Pistons,Oklahoma State,$ 10.552.800
Hamidou Diallo,SG,24,198 см,92 кг,Detroit Pistons,Kentucky,$ 5.200.000
Jalen Duren,C,19,186 см,113 кг,Detroit Pistons,Memphis,$ 4.124.280
R.J. Hampton,PG,22,195 см,79 кг,Detroit Pistons,Неизвестно,$ 485.403
Killian Hayes,PG,21,198 см,88 кг,Detroit Pistons,Неизвестно,$ 5.572.680
Jaden Ivey,PG,21,195 см,88 кг,Detroit Pistons,Purdue,$ 7.252.200
Cory Joseph,PG,31,192 см,91 кг,Detroit Pistons,Texas,$ 5.155.500
Isaiah Livers,PF,24,201 см,105 кг,Detroit Pistons,Michigan,$ 1.563.518
Rodney McGruder,G,31,195 см,93 кг,Detroit Pistons,Kansas State,$ 1.836.090
Eugene Omoruyi,F,26,201 см,107 кг,Detroit Pistons,Oregon,$ 555.402
Jared Rhoden,G,23,201 см,95 кг,Detroit Pistons,Seton Hall,Неизвестно
Isaiah Stewart,C,22,207 см,113 кг,Detroit Pistons,Washington,$ 3.433.320
James Wiseman,C,22,213 см,109 кг,Detroit Pistons,Memphis,$ 9.603.360
Oshae Brissett,SF,24,204 см,95 кг,Indiana Pacers,Syracuse,$ 1.846.738
Kendall Brown,SG,20,204 см,93 кг,Indiana Pacers,Baylor,Неизвестно
Chris Duarte,SG,25,198 см,86 кг,Indiana Pacers,Oregon,$ 3.936.960
Tyrese Haliburton,PG,23,198 см,84 кг,Indiana Pacers,Iowa State,$ 4.215.120
Buddy Hield,SG,30,195 см,100 кг,Indiana Pacers,Oklahoma,$ 22.768.890
George Hill,PG,37,195 см,85 кг,Indiana Pacers,IUPUI,$ 4.000.000
Serge Ibaka,F,33,186 см,107 кг,Indiana Pacers,Неизвестно,Неизвестно
Isaiah Jackson,SF,21,210 см,93 кг,Indiana Pacers,Kentucky,$ 2.573.760
James Johnson,PF,36,204 см,109 кг,Indiana Pacers,Wake Forest,$ 590.926
Bennedict Mathurin,SG,20,198 см,95 кг,Indiana Pacers,Arizona,$ 6.586.800
T.J. McConnell,PG,31,186 см,86 кг,Indiana Pacers,Arizona,$ 8.100.000
Andrew Nembhard,PG,23,192 см,87 кг,Indiana Pacers,Gonzaga,$ 2.244.111
Aaron Nesmith,SF,23,198 см,98 кг,Indiana Pacers,Vanderbilt,$ 3.804.360
Jordan Nwora,SF,24,207 см,102 кг,Indiana Pacers,Louisville,$ 3.000.000
Jalen Smith,PF,23,210 см,98 кг,Indiana Pacers,Maryland,$ 4.670.160
Daniel Theis,C,31,207 см,111 кг,Indiana Pacers,Неизвестно,$ 8.694.369
Myles Turner,C,27,186 см,113 кг,Indiana Pacers,Texas,$ 35.096.500
Gabe York,G,29,192 см,86 кг,Indiana Pacers,Arizona,Неизвестно
Grayson Allen,SG,27,195 см,90 кг,Milwaukee Bucks,Duke,$ 8.500.000
Giannis Antetokounmpo,PF,28,186 см,110 кг,Milwaukee Bucks,Неизвестно,$ 42.492.492
Thanasis Antetokounmpo,SF,30,204 см,99 кг,Milwaukee Bucks,Неизвестно,$ 1.878.720
MarJon Beauchamp,F,22,204 см,90 кг,Milwaukee Bucks,Неизвестно,$ 2.485.200
Jevon Carter,PG,27,186 см,91 кг,Milwaukee Bucks,West Virginia,$ 2.100.000
Pat Connaughton,SG,30,198 см,95 кг,Milwaukee Bucks,Notre Dame,$ 5.728.393
Jae Crowder,PF,32,201 см,107 кг,Milwaukee Bucks,Marquette,$ 10.183.000
Goran Dragic,PG,37,192 см,86 кг,Milwaukee Bucks,Неизвестно,$ 390.433
AJ Green,G,23,198 см,86 кг,Milwaukee Bucks,Northern Iowa,Неизвестно
Jrue Holiday,PG,32,195 см,93 кг,Milwaukee Bucks,UCLA,$ 33.665.040
Joe Ingles,SG,35,207 см,100 кг,Milwaukee Bucks,Неизвестно,$ 6.479.000
Meyers Leonard,C,31,213 см,118 кг,Milwaukee Bucks,Illinois,$ 284.911
Brook Lopez,C,35,213 см,128 кг,Milwaukee Bucks,Stanford,$ 13.906.976
Wesley Matthews,SG,36,195 см,100 кг,Milwaukee Bucks,Marquette,$ 1.836.090
Khris Middleton,SF,31,204 см,101 кг,Milwaukee Bucks,Texas A&M,$ 37.948.276
Bobby Portis,F,28,186 см,113 кг,Milwaukee Bucks,Arkansas,$ 10.843.350
Lindell Wigginton,G,25,186 см,86 кг,Milwaukee Bucks,Iowa State,Неизвестно
Christian Braun,G,22,201 см,100 кг,Denver Nuggets,Kansas,$ 2.808.600
Bruce Brown,SF,26,195 см,92 кг,Denver Nuggets,Miami (FL),$ 6.479.000
Thomas Bryant,C,25,186 см,112 кг,Denver Nuggets,Indiana,$ 1.836.090
Kentavious Caldwell Pope,SG,30,198 см,93 кг,Denver Nuggets,Georgia,$ 14.004.703
Vlatko Cancar,SF,26,207 см,107 кг,Denver Nuggets,Неизвестно,$ 2.234.359
Collin Gillespie,G,23,186 см,88 кг,Denver Nuggets,Villanova,Неизвестно
Aaron Gordon,PF,27,207 см,107 кг,Denver Nuggets,Arizona,$ 19.690.909
Jeff Green,PF,36,207 см,107 кг,Denver Nuggets,Georgetown,$ 4.500.000
Reggie Jackson,PG,33,189 см,94 кг,Denver Nuggets,Boston College,$ 580.373
Nikola Jokic,C,28,186 см,129 кг,Denver Nuggets,Неизвестно,$ 33.047.804
DeAndre Jordan,C,34,186 см,120 кг,Denver Nuggets,Texas A&M,$ 1.836.090
Jamal Murray,PG,26,195 см,98 кг,Denver Nuggets,Kentucky,$ 31.650.000
Zeke Nnaji,PF,22,210 см,109 кг,Denver Nuggets,Arizona,$ 2.498.760
Michael Porter Jr.,SF,24,186 см,99 кг,Denver Nuggets,Missouri,$ 30.913.750
Ish Smith,PG,34,183 см,79 кг,Denver Nuggets,Wake Forest,$ 4.750.000
Peyton Watson,F,20,204 см,91 кг,Denver Nuggets,UCLA,$ 2.193.960
Jack White,F,25,204 см,102 кг,Denver Nuggets,Duke,Неизвестно
Nickeil Alexander Walker,SG,24,198 см,93 кг,Minnesota Timberwolves,Virginia Tech,$ 5.009.633
Kyle Anderson,SF,29,210 см,104 кг,Minnesota Timberwolves,UCLA,$ 8.780.488
Mike Conley,PG,35,186 см,79 кг,Minnesota Timberwolves,Ohio State,$ 22.680.000
Anthony Edwards,SG,21,195 см,102 кг,Minnesota Timberwolves,Georgia,$ 10.733.400
Luka Garza,C,24,186 см,110 кг,Minnesota Timberwolves,Iowa,$ 925.258
Rudy Gobert,C,30,216 см,117 кг,Minnesota Timberwolves,Неизвестно,$ 38.172.414
Nathan Knight,F,25,207 см,115 кг,Minnesota Timberwolves,William & Mary,$ 1.836.090
Jaden McDaniels,PF,22,210 см,84 кг,Minnesota Timberwolves,Washington,$ 2.161.440
Jordan McLaughlin,PG,27,183 см,84 кг,Minnesota Timberwolves,USC,$ 2.160.000
Josh Minott,F,20,207 см,93 кг,Minnesota Timberwolves,Memphis,$ 1.017.781
Wendell Moore Jr.,G,21,198 см,98 кг,Minnesota Timberwolves,Duke,$ 2.306.520
Jaylen Nowell,SG,23,195 см,91 кг,Minnesota Timberwolves,Washington,$ 1.930.681
Taurean Prince,PF,29,201 см,99 кг,Minnesota Timberwolves,Baylor,$ 8.000.000
Naz Reid,C,23,210 см,120 кг,Minnesota Timberwolves,LSU,$ 1.930.681
Austin Rivers,SG,30,195 см,91 кг,Minnesota Timberwolves,Duke,$ 1.836.090
Matt Ryan,F,26,201 см,98 кг,Minnesota Timberwolves,Chattanooga,$ 1.836.090
Karl Anthony Towns,C,27,213 см,112 кг,Minnesota Timberwolves,Kentucky,$ 33.833.400
Jared Butler,SG,22,192 см,88 кг,Oklahoma City Thunder,Baylor,$ 1.563.518
Ousmane Dieng,F,20,210 см,84 кг,Oklahoma City Thunder,Неизвестно,$ 4.569.840
Luguentz Dort,G,24,195 см,100 кг,Oklahoma City Thunder,Arizona State,$ 15.277.778
Josh Giddey,SG,20,207 см,98 кг,Oklahoma City Thunder,Неизвестно,$ 6.287.280
Shai Gilgeous Alexander,PG,24,201 см,88 кг,Oklahoma City Thunder,Kentucky,$ 30.913.750
